shape,group,label,method,num_tests,warmup,breather,rep,tflops,clk_min,clk_med,clk_max,n_clk_samples,kernel_ms
32768x16384x16384,D,wu=2,event,10,2,flush8,1,6682,2062,2062.0,2062,18,2.599
32768x16384x16384,D,wu=2,event,10,2,flush8,2,6602,1732,2062.0,2062,18,2.599
32768x16384x16384,D,wu=10,event,10,10,flush8,0,6550,1732,1732.0,1732,18,2.599
32768x16384x16384,D,wu=10,event,10,10,flush8,1,6707,1695,1695.0,1695,18,2.599
32768x16384x16384,D,wu=10,event,10,10,flush8,2,6645,1747,1747.0,1747,18,2.599
32768x16384x16384,D,wu=30,event,10,30,flush8,0,6550,1710,1710.0,1710,18,2.599
32768x16384x16384,D,wu=30,event,10,30,flush8,1,6282,1695,1695,1695,19,2.599
32768x16384x16384,D,wu=30,event,10,30,flush8,2,6488,1627,1627.0,1627,18,2.599
32768x16384x16384,D,wu=60,event,10,60,flush8,0,6610,1695,1695.0,1695,18,2.599
32768x16384x16384,D,wu=60,event,10,60,flush8,1,6615,1695,1695.0,1740,18,2.599
32768x16384x16384,D,wu=60,event,10,60,flush8,2,6362,1627,1627,1627,19,2.599
32768x16384x16384,D,wu10+idle0.5,event,10,10,flush8,0,6706,2062,2062,2062,17,2.599
32768x16384x16384,D,wu10+idle0.5,event,10,10,flush8,1,6671,2062,2062.0,2062,18,2.599
32768x16384x16384,D,wu10+idle0.5,event,10,10,flush8,2,6676,2062,2062,2062,17,2.599
32768x16384x16384,E,graph+nt5+flush32,graph,5,10,flush32,0,6839,2062,2062,2062,17,2.599
32768x16384x16384,E,graph+nt5+flush32,graph,5,10,flush32,1,6834,2062,2062,2062,17,2.599
32768x16384x16384,E,graph+nt5+flush32,graph,5,10,flush32,2,6826,2062,2062.0,2062,16,2.599
32768x16384x16384,E,event+nt5+flushA,event,5,10,flushA,0,6831,2062,2062.0,2062,16,2.599
32768x16384x16384,E,event+nt5+flushA,event,5,10,flushA,1,6831,2062,2062,2062,17,2.599
32768x16384x16384,E,event+nt5+flushA,event,5,10,flushA,2,6823,2062,2062,2062,17,2.599
32768x16384x16384,E,event+nt1+sleep,event,1,10,sleep,0,6821,2062,2062,2062,3,2.599
32768x16384x16384,E,event+nt1+sleep,event,1,10,sleep,1,6822,2062,2062,2062,3,2.599
32768x16384x16384,E,event+nt1+sleep,event,1,10,sleep,2,6833,2062,2062,2062,3,2.599
32768x16384x32768,A,bench_kineto,bench_kineto,10,0,flush8,0,6690,1387,1387,2062,69,5.117
32768x16384x32768,A,bench_kineto,bench_kineto,10,0,flush8,1,6546,1387,1545,1545,69,5.117
32768x16384x32768,A,bench_kineto,bench_kineto,10,0,flush8,2,6692,1432,1507,1507,69,5.117
32768x16384x32768,A,event(B),event,10,10,flush8,0,6114,1425,1567,1567,35,5.117
32768x16384x32768,A,event(B),event,10,10,flush8,1,5976,1372,1372,1372,35,5.117
32768x16384x32768,A,event(B),event,10,10,flush8,2,6250,1402,1402.0,1477,34,5.117
32768x16384x32768,A,graph,graph,10,10,flush8,0,6353,2002,2002.0,2002,32,5.117
32768x16384x32768,A,graph,graph,10,10,flush8,1,6330,1500,1507,1507,33,5.117
32768x16384x32768,A,graph,graph,10,10,flush8,2,6445,1500,1545,1545,33,5.117
32768x16384x32768,A,event+sync,event_sync,10,10,flush8,0,6310,1582,1582,1582,33,5.117
32768x16384x32768,A,event+sync,event_sync,10,10,flush8,1,6094,1492,1492.0,1515,34,5.117
32768x16384x32768,A,event+sync,event_sync,10,10,flush8,2,6118,1432,1432.0,1515,34,5.117
32768x16384x32768,B,nt=1,event,1,10,flush8,0,6469,1500,1500,1500,3,5.117
32768x16384x32768,B,nt=1,event,1,10,flush8,1,5986,1395,1395,1395,3,5.117
32768x16384x32768,B,nt=1,event,1,10,flush8,2,6446,1395,1395.0,1395,4,5.117
32768x16384x32768,B,nt=5,event,5,10,flush8,0,6299,1545,1545.0,1545,16,5.117
32768x16384x32768,B,nt=5,event,5,10,flush8,1,6289,1462,1462,1462,17,5.117
32768x16384x32768,B,nt=5,event,5,10,flush8,2,6307,1477,1477,1492,17,5.117
32768x16384x32768,B,nt=10,event,10,10,flush8,0,6378,1470,1470,1492,33,5.117
32768x16384x32768,B,nt=10,event,10,10,flush8,1,6227,1522,1522,1522,33,5.117
32768x16384x32768,B,nt=10,event,10,10,flush8,2,6217,1432,1432.0,1477,34,5.117
